"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Derma-Smoothe-FS,Fluocinolone Acetonide,1,"$9,263.25","6,818",30,20,$1.36,$308.78,$463.16,0,"$32,007.98","14,785",110,67,$2.16,$290.98,$477.73,0,"$3,691.20","1,774",15,13,$2.08,$246.08,$283.94,1,"$4,787.19","13,247",95,60,$0.36,$50.39,$79.79,0,"$16,440.87","49,322",372,220,$0.33,$44.20,$74.73,0,-7.76%,-29.62%
Derma-Smoothe-FS,Fluocinolone/Shower Cap,1,"$16,167.77","7,459",46,47,$2.17,$351.47,$344.00,0,"$114,038.50","52,394",360,212,$2.18,$316.77,$537.92,0,"$14,138.87","6,623",47,43,$2.13,$300.83,$328.81,0,"$9,625.58","28,505",227,170,$0.34,$42.40,$56.62,0,"$39,888.30","119,478",932,656,$0.33,$42.80,$60.81,0,-1.13%,-37.35%
Dermacinrx Purefolix,Vitamin D3/Folic Acid,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$7,611.00",690,21, ,$11.03,$362.43, ,1,"$8,139.52",694,22, ,$11.73,$369.98, ,1,6.33%,6.33%
Dermotic,Fluocinolone Acetonide Oil,1,"$5,530.57",440,22,22,$12.57,$251.39,$251.39,1,"$40,012.13","3,180",152,101,$12.58,$263.24,$396.16,0,"$4,162.57",360,18,17,$11.56,$231.25,$244.86,1,"$9,299.25","6,200",309,263,$1.50,$30.09,$35.36,0,"$30,573.02","18,690",928,718,$1.64,$32.95,$42.58,0,9.06%,-39.94%
Descovy,Emtricitabine/Tenofov Alafenam,1, , , , , , , , ,"$90,240,817.06","1,833,819","58,882","15,039",$49.21,"$1,532.57","$6,000.45",0,"$404,070,231.27","7,654,133","245,992","31,533",$52.79,"$1,642.62","$12,814.20",0,"$568,751,710.66","10,078,247","323,013","38,327",$56.43,"$1,760.77","$14,839.45",0,"$524,694,706.17","8,894,725","283,737","35,067",$58.99,"$1,849.23","$14,962.63",0,4.53%,6.23%
Desipramine HCl,Desipramine HCl,7,"$10,860,531.39","7,292,543","101,761","21,885",$1.55,$106.73,$496.25,0,"$10,780,701.89","7,046,226","96,691","20,142",$1.59,$111.50,$535.23,0,"$12,140,375.06","6,713,803","90,463","18,950",$1.88,$134.20,$640.65,0,"$10,833,377.92","6,186,093","82,123","17,314",$1.81,$131.92,$625.70,0,"$9,286,046.42","5,632,693","73,381","15,985",$1.71,$126.55,$580.92,0,-6.03%,2.48%
Desloratadine,Desloratadine,5,"$7,682,161.44","6,813,394","136,713","44,922",$1.14,$56.19,$171.01,0,"$6,727,105.15","7,537,285","146,800","43,083",$0.89,$45.82,$156.14,0,"$6,680,004.58","7,447,320","145,211","42,095",$0.90,$46.00,$158.69,0,"$7,507,406.98","7,525,340","135,939","40,815",$1.00,$55.23,$183.94,0,"$8,490,288.93","7,689,375","137,337","42,357",$1.10,$61.82,$200.45,0,10.10%,-0.86%
Desmopressin Acetate,Desmopressin (Nonrefrigerated),3,"$1,625,422.71","70,776","7,594","2,562",$22.97,$214.04,$634.44,0,"$2,734,790.26","126,771","12,039","3,197",$21.61,$227.16,$855.42,0,"$3,992,155.39","170,008","15,583","3,371",$23.51,$256.19,"$1,184.26",0,"$4,927,201.11","197,091","18,360","3,986",$25.01,$268.37,"$1,236.13",0,"$5,540,455.47","244,849","22,286","4,679",$22.63,$248.61,"$1,184.11",0,-9.51%,-0.37%
Desmopressin Acetate*,Desmopressin Acetate,14,"$12,585,001.07","6,748,981","123,321","30,249",$4.64,$102.05,$416.05,0,"$13,228,000.95","8,749,775","148,673","30,667",$3.38,$88.97,$431.34,0,"$16,659,897.24","11,709,148","182,446","32,232",$3.00,$91.31,$516.87,0,"$18,589,923.07","13,405,206","198,399","33,948",$2.56,$93.70,$547.60,0,"$18,568,083.33","14,299,363","201,620","35,961",$2.21,$92.09,$516.34,0,-13.80%,-16.97%
Desogestr-Eth Estrad Eth Estra,Desog-E.Estradiol/E.Estradiol,1,"$15,547.54","14,776",411,87,$1.05,$37.83,$178.71,0,"$21,821.85","23,633",657,140,$0.92,$33.21,$155.87,0,"$22,121.36","26,995",764,154,$0.82,$28.95,$143.65,0,"$35,088.59","40,237","1,103",253,$0.87,$31.81,$138.69,0,"$67,451.77","70,535","1,811",346,$0.96,$37.25,$194.95,0,9.66%,-2.36%
Desogestrel-Ethinyl Estradiol,Desogestrel-Ethinyl Estradiol,1, , , ,615, , , , , , , ,288, , , , ,"$4,259.70","6,468",201,74,$0.66,$21.19,$57.56,0,"$10,359.36","15,512",456,129,$0.67,$22.72,$80.31,0,"$5,692.42","10,080",271,69,$0.56,$21.01,$82.50,0,-15.44%,-7.40%
Desonate,Desonide,2,"$772,195.29","114,723","1,777","1,374",$6.73,$434.55,$562.01,0,"$752,221.83","95,996","1,489","1,110",$7.84,$505.19,$677.68,0,"$531,385.96","61,365",953,680,$8.66,$557.59,$781.45,0,"$597,594.53","62,220",924,648,$9.60,$646.75,$922.21,0,"$438,658.76","43,470",662,444,$10.09,$662.63,$987.97,0,5.07%,10.65%
Desonide,Desonide,11,"$61,599,991.93","20,279,415","371,246","229,217",$3.12,$165.93,$268.74,0,"$36,664,907.67","13,039,833","247,172","154,683",$2.89,$148.34,$237.03,0,"$28,363,233.41","10,005,172","193,603","121,114",$2.88,$146.50,$234.19,0,"$20,663,812.37","8,296,828","156,784","98,546",$2.48,$131.80,$209.69,0,"$20,463,901.94","9,167,059","152,848","95,669",$2.13,$133.88,$213.90,0,-14.37%,-9.13%
Desowen,Desonide,1,"$84,394.33","44,256",690,561,$1.84,$122.31,$150.44,0,"$71,356.10","35,309",533,353,$1.89,$133.88,$202.14,0,"$34,532.18","16,943",253,159,$2.03,$136.49,$217.18,0,"$42,692.30","13,240",213,120,$3.22,$200.43,$355.77,1,"$9,381.80","2,068",32,28,$4.52,$293.18,$335.06,0,40.08%,25.13%
Desoximetasone,Desoximetasone,10,"$27,371,543.69","11,959,329","199,294","111,713",$2.23,$137.34,$245.02,0,"$19,878,370.79","8,915,749","149,390","85,207",$2.16,$133.06,$233.30,0,"$16,590,085.56","7,358,615","125,469","70,593",$2.16,$132.22,$235.01,0,"$15,004,360.76","6,615,959","109,056","60,910",$2.11,$137.58,$246.34,0,"$13,881,304.17","6,274,560","93,582","52,543",$1.94,$148.33,$264.19,0,-8.04%,-3.36%
Desoxyn,Methamphetamine HCl,1,"$577,354.87","82,375",430,74,$7.01,"$1,342.69","$7,802.09",0,"$830,156.65","94,457",490,75,$8.79,"$1,694.20","$11,068.76",0,"$792,652.56","72,573",374,55,$10.92,"$2,119.39","$14,411.86",0,"$844,013.13","60,070",307,41,$14.05,"$2,749.23","$20,585.69",0,"$578,414.65","37,380",188,39,$15.47,"$3,076.67","$14,831.14",0,10.13%,21.90%
Desvenlafaxine ER,Desvenlafaxine,3,"$1,822,951.04","346,388","9,886","2,374",$5.25,$184.40,$767.88,0,"$1,941,981.02","394,434","11,278","2,584",$4.94,$172.19,$751.54,0,"$2,390,689.90","447,589","12,235","3,477",$5.34,$195.40,$687.57,0,"$2,072,991.07","376,697","9,974","3,084",$5.50,$207.84,$672.18,0,"$1,759,384.36","363,924","9,416","2,944",$4.86,$186.85,$597.62,0,-11.64%,-1.92%
Desvenlafaxine Succinate ER,Desvenlafaxine Succinate,6, , , , , , , , , , , , , , , , ,"$52,548,629.79","14,949,289","358,176","74,684",$3.52,$146.71,$703.61,0,"$56,713,708.46","23,949,794","547,089","96,745",$2.37,$103.66,$586.22,0,"$62,691,445.64","28,476,955","624,264","110,617",$2.20,$100.42,$566.74,0,-7.17%,-20.93%
Detrol,Tolterodine Tartrate,1,"$398,761.70","75,682","1,074",315,$5.27,$371.29,"$1,265.91",0,"$421,993.39","72,847",901,232,$5.77,$468.36,"$1,818.94",0,"$386,932.27","59,046",676,189,$6.52,$572.39,"$2,047.26",0,"$333,475.09","47,986",499,148,$6.94,$668.29,"$2,253.21",0,"$248,112.16","35,413",362,115,$6.98,$685.39,"$2,157.50",0,0.55%,7.30%
Detrol La,Tolterodine Tartrate,1,"$9,321,751.83","1,054,001","24,894","7,321",$8.84,$374.46,"$1,273.29",0,"$6,787,103.13","696,277","13,740","3,254",$9.75,$493.97,"$2,085.77",0,"$5,974,440.48","532,900","9,757","2,224",$11.21,$612.32,"$2,686.35",0,"$5,071,651.10","434,191","7,566","1,777",$11.68,$670.32,"$2,854.05",0,"$4,068,314.88","349,934","5,689","1,457",$11.63,$715.12,"$2,792.25",0,-0.43%,7.09%
Dexamethasone,Dexamethasone,8,"$8,695,843.75","39,337,905","719,856","373,985",$0.30,$12.08,$23.25,0,"$9,592,697.66","41,824,522","765,539","394,015",$0.32,$12.53,$24.35,0,"$11,615,858.68","49,220,622","827,376","425,064",$0.34,$14.04,$27.33,0,"$16,407,437.93","52,933,134","886,295","453,906",$0.54,$18.51,$36.15,0,"$19,632,996.45","56,437,755","950,071","488,985",$0.64,$20.66,$40.15,0,18.57%,21.05%
Dexamethasone Intensol,Dexamethasone,1,"$120,443.10","168,319","1,349",816,$0.72,$89.28,$147.60,0,"$122,812.29","161,467","1,332",853,$0.76,$92.20,$143.98,0,"$118,073.43","148,197","1,248",816,$0.80,$94.61,$144.70,0,"$143,775.62","177,598","1,707","1,062",$0.81,$84.23,$135.38,0,"$154,734.28","197,122","1,897","1,201",$0.78,$81.57,$128.84,0,-3.04%,2.34%
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosp/PF,3,"$36,545.27","24,452",768,400,$1.49,$47.58,$91.36,0,"$17,519.08","6,608",987,437,$2.60,$17.75,$40.09,0,"$25,039.90","8,072","1,282",510,$3.11,$19.53,$49.10,0,"$32,708.46","10,997","1,481",601,$2.96,$22.09,$54.42,0,"$35,412.58","10,028","1,912",797,$3.61,$18.52,$44.43,0,22.06%,24.70%
Dexamethasone Sodium Phosphate*,Dexamethasone Sodium Phosphate,7,"$1,285,022.50","849,350","69,962","44,987",$2.50,$18.37,$28.56,0,"$4,307,574.59","1,047,187","97,570","57,122",$6.43,$44.15,$75.41,0,"$4,576,702.50","1,178,808","103,274","59,899",$6.14,$44.32,$76.41,0,"$4,971,526.08","1,148,998","103,622","61,038",$6.17,$47.98,$81.45,0,"$5,017,095.19","1,017,323","107,597","65,012",$7.08,$46.63,$77.17,0,14.86%,29.76%
Dexchlorpheniramine Maleate,Dexchlorpheniramine Maleate,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$158,242.56","31,630",80,45,$5.00,"$1,978.03","$3,516.50",0, , 
Dexedrine,Dextroamphetamine Sulfate,2,"$3,676,314.86","265,052","2,459",369,$13.92,"$1,495.04","$9,962.91",0,"$4,019,227.31","238,398","2,254",321,$16.86,"$1,783.15","$12,520.96",0,"$3,963,627.02","220,029","2,180",299,$18.01,"$1,818.18","$13,256.28",0,"$4,032,110.81","197,687","1,998",271,$20.39,"$2,018.07","$14,878.64",0,"$3,580,956.54","153,952","1,624",263,$23.28,"$2,205.02","$13,615.80",0,14.16%,13.73%
Dexilant,Dexlansoprazole,1,"$476,268,881.18","67,111,228","1,687,343","313,063",$7.10,$282.26,"$1,521.32",0,"$550,348,814.41","69,624,303","1,723,630","314,069",$7.91,$319.30,"$1,752.32",0,"$588,647,881.58","69,393,836","1,664,147","300,032",$8.48,$353.72,"$1,961.95",0,"$601,789,192.16","65,526,698","1,511,199","283,630",$9.18,$398.22,"$2,121.74",0,"$618,731,249.21","65,228,454","1,424,823","267,503",$9.49,$434.25,"$2,312.99",0,3.28%,7.52%
Dexmethylphenidate HCl,Dexmethylphenidate HCl,7,"$687,763.89","749,958","10,569","2,169",$0.90,$65.07,$317.09,0,"$675,180.48","790,613","11,854","2,439",$0.84,$56.96,$276.83,0,"$686,189.39","891,503","13,395","2,619",$0.76,$51.23,$262.00,0,"$711,398.15","956,337","14,605","2,787",$0.74,$48.71,$255.26,0,"$763,480.60","1,142,728","17,865","3,445",$0.66,$42.74,$221.62,0,-9.90%,-7.42%
Dexmethylphenidate HCl ER,Dexmethylphenidate HCl,7,"$1,898,710.88","315,987","8,006","1,786",$5.97,$237.16,"$1,063.11",0,"$3,031,212.39","547,070","14,268","2,692",$5.52,$212.45,"$1,126.01",0,"$4,038,683.80","762,350","20,432","3,443",$5.30,$197.66,"$1,173.01",0,"$4,744,311.32","963,670","26,010","4,060",$4.92,$182.40,"$1,168.55",0,"$4,828,554.89","974,145","25,879","4,092",$4.96,$186.58,"$1,180.00",0,0.85%,-4.54%
Dexpak,Dexamethasone,1,"$441,507.93","65,066","2,013","1,840",$6.78,$219.33,$239.95,0,"$258,551.75","33,344","1,063",949,$7.76,$243.23,$272.45,0,"$109,181.97","13,456",411,365,$8.11,$265.65,$299.13,0,"$49,530.10","6,105",175,157,$8.06,$283.03,$315.48,0,"$15,535.39","2,106",62,59,$7.38,$250.57,$263.31,1,-8.46%,2.17%
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate,8,"$6,802,818.06","4,508,912","41,980","8,795",$1.50,$162.05,$773.49,0,"$7,302,906.57","5,358,094","50,483","9,078",$1.36,$144.66,$804.46,0,"$8,050,016.22","5,743,247","55,663","9,441",$1.40,$144.62,$852.67,0,"$6,818,263.51","5,681,283","54,948","8,855",$1.20,$124.09,$769.99,0,"$6,027,499.20","5,800,477","56,102","8,928",$1.03,$107.44,$675.12,0,-13.90%,-8.94%
Dextroamphetamine Sulfate ER,Dextroamphetamine Sulfate,7,"$5,134,564.31","1,526,652","18,588","8,109",$3.36,$276.23,$633.19,0,"$7,376,336.51","2,269,440","27,793","7,787",$3.25,$265.40,$947.26,0,"$10,890,751.81","3,859,257","48,257","7,426",$2.82,$225.68,"$1,466.57",0,"$9,303,248.29","3,777,551","48,210","7,120",$2.46,$192.97,"$1,306.64",0,"$9,460,971.74","3,481,741","44,015","6,573",$2.71,$214.95,"$1,439.37",0,10.05%,-5.22%
Dextroamphetamine-Amphet ER,Dextroamphetamine/Amphetamine,9,"$58,497,797.42","15,208,111","363,621","55,790",$3.85,$160.88,"$1,048.54",0,"$59,780,061.52","17,032,294","416,926","62,244",$3.51,$143.38,$960.41,0,"$62,013,188.13","18,322,239","454,370","67,372",$3.39,$136.48,$920.46,0,"$61,868,971.59","19,757,478","497,393","72,438",$3.13,$124.39,$854.10,0,"$57,343,548.20","19,034,901","482,849","73,456",$3.01,$118.76,$780.65,0,-3.84%,-5.94%
Dextroamphetamine-Amphetamine,Dextroamphetamine/Amphetamine,13,"$54,568,873.81","59,392,391","941,109","140,743",$0.92,$57.98,$387.72,0,"$52,489,007.22","68,227,139","1,104,875","156,206",$0.77,$47.51,$336.02,0,"$52,310,172.14","73,239,092","1,207,332","167,516",$0.71,$43.33,$312.27,0,"$55,711,293.23","78,335,182","1,301,578","178,605",$0.71,$42.80,$311.92,0,"$57,800,474.01","83,196,119","1,389,118","188,980",$0.70,$41.61,$305.85,0,-2.30%,-6.76%
Dextrose 10%-0.45% NaCl,Dextrose 10 % And 0.45 % NaCl,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$2,662.15","286,150",74,11,$0.01,$35.98,$242.01,0, , 
Dextrose 5%-0.2% NaCl,Dextrose 5 %-0.2 % Sod Chlorid,2,"$10,240.94","1,806,942",496,239,$0.01,$20.65,$42.85,0,"$14,441.33","1,996,055",608,240,$0.01,$23.75,$60.17,0,"$9,945.09","1,357,315",453,168,$0.01,$21.95,$59.20,0,"$8,345.34","1,434,577",354,166,$0.01,$23.57,$50.27,0,"$4,865.30","745,618",215,95,$0.01,$22.63,$51.21,0,8.92%,3.53%
Dextrose 5%-0.225% NaCl,Dextrose 5 %-0.2 % Sod Chlorid,1,"$3,417.49","496,415",157,72,$0.01,$21.77,$47.47,0,"$2,017.59","303,803",82,54,$0.01,$24.60,$37.36,0,"$2,314.13","290,072",96,46,$0.01,$24.11,$50.31,0,"$1,123.89","147,025",48,32,$0.01,$23.41,$35.12,0,$315.05,"48,500",14,11,$0.01,$22.50,$28.64,1,-15.02%,-1.44%
Dextrose 5%-0.45% NaCl,Dextrose 5 %-0.45 % Sod Chlord,3,"$586,035.68","128,538,951","36,890","20,673",$0.00,$15.89,$28.35,0,"$688,709.52","124,483,631","35,273","19,711",$0.01,$19.53,$34.94,0,"$643,007.36","120,160,463","35,004","20,217",$0.01,$18.37,$31.81,0,"$661,837.01","114,391,126","34,570","19,813",$0.01,$19.14,$33.40,0,"$629,857.92","112,671,886","33,275","18,712",$0.01,$18.93,$33.66,0,-1.58%,5.75%
Dextrose 5%-0.45% NaCl-KCl,Potassium Chloride/D5-0.45NaCl,3,"$58,339.86","15,091,532","3,477","1,736",$0.00,$16.78,$33.61,0,"$75,256.30","15,883,760","3,083","1,333",$0.00,$24.41,$56.46,0,"$60,679.37","12,620,523","2,698","1,174",$0.00,$22.49,$51.69,0,"$50,558.59","10,574,991","2,280",895,$0.00,$22.17,$56.49,0,"$47,717.98","10,816,820","1,985",788,$0.00,$24.04,$60.56,0,-4.73%,3.75%
Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl,3,"$160,624.88","37,544,669","9,614","5,703",$0.00,$16.71,$28.16,0,"$205,819.36","38,406,473","9,817","5,765",$0.01,$20.97,$35.70,0,"$178,216.15","34,355,409","9,298","5,661",$0.01,$19.17,$31.48,0,"$167,368.15","31,206,539","8,999","5,430",$0.01,$18.60,$30.82,0,"$178,678.70","31,179,963","8,912","5,447",$0.01,$20.05,$32.80,0,9.75%,8.03%
Dextrose 5%-1/2ns-KCl,Potassium Chloride/D5-0.45NaCl,3,"$15,049.68","3,018,360",666,327,$0.01,$22.60,$46.02,0,"$19,443.25","3,108,378",561,276,$0.01,$34.66,$70.45,0,"$13,546.55","1,735,744",384,200,$0.01,$35.28,$67.73,0,"$14,381.77","1,467,435",361,154,$0.01,$39.84,$93.39,0,"$19,343.39","2,882,183",437,145,$0.01,$44.26,$133.40,0,-31.58%,5.43%
Dextrose 5%-Ns-KCl,Potassium Chloride/D5-0.9%NaCl,3,"$8,940.67","1,712,424",315,132,$0.01,$28.38,$67.73,0,"$9,420.29","1,439,107",296,104,$0.01,$31.83,$90.58,0,"$9,404.39","1,430,189",306,97,$0.01,$30.73,$96.95,0,"$8,997.68","1,440,024",326,99,$0.01,$27.60,$90.89,0,"$6,166.66","1,132,830",284,73,$0.01,$21.71,$84.47,0,-14.11%,0.53%
Dextrose 5%-Potassium Chloride,Potassium Chloride In D5W,2,"$2,054.99","284,026",81,87,$0.01,$25.37,$23.62,0,"$3,025.74","314,031",76,77,$0.01,$39.81,$39.30,0,"$5,333.06","743,017",174,96,$0.01,$30.65,$55.55,0,"$3,910.62","378,055",105,70,$0.01,$37.24,$55.87,0,"$2,186.21","291,026",92,51,$0.01,$23.76,$42.87,0,-24.69%,1.87%
Dextrose In Lactated Ringers,Dextrose 5%-Lactated Ringers,3,"$29,405.68","5,471,870",995,488,$0.01,$29.55,$60.26,0,"$39,482.95","5,765,074","1,122",531,$0.01,$35.19,$74.36,0,"$34,020.79","5,717,013","1,131",511,$0.01,$30.08,$66.58,0,"$45,527.00","8,053,281","1,453",610,$0.01,$31.33,$74.63,0,"$36,395.57","5,319,819","1,029",492,$0.01,$35.37,$73.97,0,29.90%,8.25%
Dextrose In Water,Dextrose 10 % In Water,3,"$5,419.14","1,147,704",395,236,$0.01,$13.72,$22.96,0,"$6,412.69","1,271,540",366,205,$0.01,$17.52,$31.28,0,"$7,158.80","1,075,933",471,255,$0.01,$15.20,$28.07,0,"$11,250.34","1,460,510",489,248,$0.01,$23.01,$45.36,0,"$12,599.31","1,849,173",589,262,$0.01,$21.39,$48.09,0,-3.53%,7.04%
Dextrose In Water,Dextrose 5 % In Water,5,"$529,034.79","42,443,768","23,040","9,719",$0.03,$22.96,$54.43,0,"$545,111.62","42,307,368","22,796","9,958",$0.03,$23.91,$54.74,0,"$435,492.35","43,724,562","21,351","10,184",$0.02,$20.40,$42.76,0,"$449,163.06","40,586,253","20,981","9,935",$0.02,$21.41,$45.21,0,"$381,383.91","39,598,871","20,539","9,482",$0.02,$18.57,$40.22,0,-6.65%,-5.86%
Dextrose In Water,Dextrose 50 % In Water,2,"$10,298.84","145,513",778,676,$0.16,$13.24,$15.23,0,"$10,938.40","166,328",793,628,$0.15,$13.79,$17.42,0,"$10,331.11","72,644",662,532,$0.17,$15.61,$19.42,0,"$9,820.62","67,579",640,502,$0.16,$15.34,$19.56,0,"$11,781.31","108,909",453,358,$0.15,$26.01,$32.91,0,-8.72%,-1.42%
Dextrose In Water,Dextrose 70 % In Water,3,"$1,479,742.30","65,207,507","31,262","1,504",$0.02,$47.33,$983.87,0,"$2,292,291.20","80,998,767","38,712","1,751",$0.03,$59.21,"$1,309.13",0,"$2,295,366.51","98,643,556","48,968","1,974",$0.02,$46.87,"$1,162.80",0,"$360,695.91","13,399,989","42,035","1,737",$0.03,$8.58,$207.65,0,"$1,088,174.33","45,066,993","38,111","1,537",$0.02,$28.55,$707.99,0,-11.93%,1.93%
Dialyvite,Folic Acid/Vit B Complex And C,1,$222.26,"1,650",33,13,$0.13,$6.74,$17.10,0,$112.26,"1,260",24, ,$0.09,$4.68, ,1,$209.32,"1,534",36, ,$0.14,$5.81, ,0,$192.22,"1,350",31, ,$0.14,$6.20, ,0,$165.58,952,23, ,$0.17,$7.20, ,1,22.15%,6.60%
Dialyvite Supreme D,Multivit-Mins 25/Folic Acid/D3,1, , , , , , , , , , , , , , , , , , , , , , , , ,$254.30,728,18, ,$0.35,$14.13, ,1,$133.00,365,12, ,$0.36,$11.08, ,1,4.31%,4.31%
Diastat,Diazepam,1,"$44,518.26",168,83,40,$264.99,$536.36,"$1,112.96",0,"$48,567.86",187,80,40,$259.72,$607.10,"$1,214.20",0,"$59,576.20",223,89,59,$267.16,$669.40,"$1,009.77",0,"$80,603.98",288,143,94,$279.87,$563.66,$857.49,0,"$95,380.87",338,153,86,$282.19,$623.40,"$1,109.08",0,0.83%,1.58%
Diastat Acudial,Diazepam,1,"$1,246,092.90","4,062","2,063",914,$306.79,$604.02,"$1,363.34",0,"$1,059,700.45","3,503","1,558",749,$302.54,$680.17,"$1,414.82",0,"$1,556,857.09","4,897","2,205","1,185",$317.99,$706.06,"$1,313.80",0,"$2,047,338.38","6,180","3,107","1,565",$331.51,$658.94,"$1,308.20",0,"$2,024,136.15","5,919","2,985","1,466",$342.14,$678.10,"$1,380.72",0,3.20%,2.76%
Diazepam*,Diazepam,13,"$24,426,731.39","182,918,311","3,222,502","1,070,093",$1.41,$7.58,$22.83,0,"$26,484,050.15","189,205,129","3,355,549","1,057,338",$1.35,$7.89,$25.05,0,"$31,009,552.95","215,905,090","3,939,359","1,073,490",$1.19,$7.87,$28.89,0,"$32,233,735.88","194,137,004","3,651,415","1,020,529",$1.31,$8.83,$31.59,0,"$28,943,596.84","172,545,455","3,413,931","969,018",$1.40,$8.48,$29.87,0,6.50%,-0.27%
Diclegis,Doxylamine Succinate/Vit B6,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$322,567.27","45,749",621,419,$7.05,$519.43,$769.85,0,"$186,639.93","26,750",413,250,$6.98,$451.91,$746.56,0,-1.04%,-1.04%
Diclofenac Epolamine,Diclofenac Epolamine,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$38,212,886.22","3,410,405","52,548","20,641",$11.17,$727.20,"$1,851.31",0, , 
Diclofenac Potassium,Diclofenac Potassium,3,"$14,129,447.81","26,461,062","444,758","181,857",$0.53,$31.77,$77.70,0,"$19,897,615.24","28,627,057","475,835","195,554",$0.70,$41.82,$101.75,0,"$25,998,408.79","30,867,126","503,266","204,207",$0.84,$51.66,$127.31,0,"$29,417,451.30","32,032,392","522,918","212,789",$0.90,$56.26,$138.25,0,"$4,557,926.03","5,532,082","98,629","59,092",$0.82,$46.21,$77.13,0,-8.69%,11.81%
Diclofenac Sodium ER,Diclofenac Sodium,5,"$3,123,480.61","6,127,551","134,740","66,186",$0.51,$23.18,$47.19,0,"$4,008,194.81","8,006,177","174,861","67,044",$0.50,$22.92,$59.78,0,"$5,845,599.91","10,595,512","199,226","69,016",$0.55,$29.34,$84.70,0,"$7,140,724.74","9,621,232","191,106","67,777",$0.74,$37.37,$105.36,0,"$11,937,624.85","9,299,646","186,742","67,371",$1.28,$63.93,$177.19,0,73.25%,25.96%
Diclofenac Sodium*,Diclofenac Sodium,32,"$144,282,215.53","173,345,452","2,392,668","880,326",$0.67,$60.30,$163.90,0,"$229,012,360.27","307,691,245","3,197,648","1,294,330",$0.62,$71.62,$176.94,0,"$253,356,942.56","489,371,139","4,266,598","1,700,305",$0.49,$59.38,$149.01,0,"$268,484,648.44","637,073,793","5,109,027","2,037,254",$0.41,$52.55,$131.79,0,"$295,353,428.12","908,845,893","6,947,585","2,874,806",$0.34,$42.51,$102.74,0,-16.77%,-15.46%
Diclofenac Sodium-Misoprostol,Diclofenac Sodium/Misoprostol,7,"$20,858,701.76","8,939,958","108,177","32,557",$2.33,$192.82,$640.68,0,"$14,308,674.87","6,470,892","74,704","23,216",$2.21,$191.54,$616.33,0,"$12,773,165.39","5,853,408","65,658","19,407",$2.18,$194.54,$658.17,0,"$11,539,206.71","5,438,779","59,211","17,858",$2.12,$194.88,$646.16,0,"$9,910,448.35","4,829,815","51,256","15,630",$2.05,$193.35,$634.07,0,-3.25%,-3.15%
Dicloxacillin Sodium,Dicloxacillin Sodium,2,"$1,542,623.03","2,581,642","55,617","39,202",$0.60,$27.74,$39.35,0,"$1,362,933.35","2,422,750","51,854","36,635",$0.56,$26.28,$37.20,0,"$1,816,306.80","2,365,815","49,731","34,985",$0.77,$36.52,$51.92,0,"$1,808,167.04","2,236,273","46,131","32,163",$0.81,$39.20,$56.22,0,"$1,895,396.31","2,178,366","44,807","31,218",$0.87,$42.30,$60.71,0,7.68%,9.74%
Dicyclomine HCl*,Dicyclomine HCl,9,"$15,271,108.78","161,739,685","1,753,080","622,016",$0.09,$8.71,$24.55,0,"$18,593,638.55","179,368,224","1,912,110","674,027",$0.10,$9.72,$27.59,0,"$20,899,906.50","193,053,112","2,018,546","716,452",$0.11,$10.35,$29.17,0,"$27,928,859.14","207,816,288","2,098,718","750,900",$0.13,$13.31,$37.19,0,"$40,304,710.68","219,348,361","2,133,603","783,190",$0.18,$18.89,$51.46,0,38.28%,18.80%
Didanosine,Didanosine,1,"$792,409.66","137,437","4,057","1,216",$5.83,$195.32,$651.65,0,"$754,164.34","123,957","3,782",805,$6.08,$199.41,$936.85,0,"$673,932.21","99,310","2,908",522,$6.76,$231.75,"$1,291.06",0,"$462,015.29","71,518","2,058",345,$6.42,$224.50,"$1,339.17",0,"$192,307.99","31,441",873,200,$6.04,$220.28,$961.54,0,-5.96%,0.88%
Differin,Adapalene,1,"$336,284.08","66,177","1,296",766,$5.06,$259.48,$439.01,0,"$282,980.92","64,251","1,262",730,$4.37,$224.23,$387.65,0,"$231,495.05","50,008",977,571,$4.58,$236.94,$405.42,0,"$167,957.47","27,725",520,286,$5.98,$323.00,$587.26,0,"$123,594.22","18,659",342,187,$6.55,$361.39,$660.93,0,9.48%,6.67%
